Algorithm,Topology,Nodes,ConvergenceTime
Gossip,2D_Grid,9,0.334000
Gossip,Imperfect_3D_Grid,8,0.184000
Gossip,Full_Network,10,0.214000
Gossip,2D_Grid,100,0.723000
Gossip,Imperfect_3D_Grid,125,0.483000
Gossip,Full_Network,110,0.333000
Gossip,2D_Grid,196,1.023000
Gossip,Imperfect_3D_Grid,216,0.483000
Gossip,Full_Network,210,0.424000
Gossip,2D_Grid,324,1.243000
Gossip,Imperfect_3D_Grid,343,0.523000
Gossip,Full_Network,310,0.493000
Gossip,2D_Grid,400,1.693000
Gossip,Imperfect_3D_Grid,343,0.663000
Gossip,Full_Network,410,0.485000
Gossip,2D_Grid,529,1.844000
Gossip,Imperfect_3D_Grid,512,0.613000
Gossip,Full_Network,510,0.484000
Gossip,2D_Grid,625,2.054000
Gossip,Imperfect_3D_Grid,512,0.573000
Gossip,Full_Network,610,0.465000
Gossip,2D_Grid,729,2.474000
Gossip,Imperfect_3D_Grid,729,0.644000
Gossip,Full_Network,710,0.494000
Gossip,2D_Grid,784,1.554000
Gossip,Imperfect_3D_Grid,729,0.584000
Gossip,Full_Network,810,0.494000
Gossip,2D_Grid,900,2.213000
Gossip,Imperfect_3D_Grid,1000,0.724000
Gossip,Full_Network,910,0.485000
Gossip,2D_Grid,1024,2.693000
Gossip,Imperfect_3D_Grid,1000,0.673000
Gossip,Full_Network,1010,0.539000
Gossip,2D_Grid,1089,2.863000
Gossip,Imperfect_3D_Grid,1000,0.696000
Gossip,Full_Network,1110,0.514000
Gossip,2D_Grid,1225,2.983000
Gossip,Imperfect_3D_Grid,1331,0.673000
Gossip,Full_Network,1210,0.623000
Gossip,2D_Grid,1296,2.383000
Gossip,Imperfect_3D_Grid,1331,0.733000
Gossip,Full_Network,1310,0.593000
Gossip,2D_Grid,1444,3.373000
Gossip,Imperfect_3D_Grid,1331,0.727000
Gossip,Full_Network,1410,0.654000
Gossip,2D_Grid,1521,3.024000
Gossip,Imperfect_3D_Grid,1331,0.733000
Gossip,Full_Network,1510,0.697000
Gossip,2D_Grid,1600,3.363000
Gossip,Imperfect_3D_Grid,1728,0.773000
Gossip,Full_Network,1610,0.844000
Gossip,2D_Grid,1681,2.973000
Gossip,Imperfect_3D_Grid,1728,0.784000
Gossip,Full_Network,1710,0.604000
Gossip,2D_Grid,1849,3.214000
Gossip,Imperfect_3D_Grid,1728,0.704000
Gossip,Full_Network,1810,0.596000
Gossip,2D_Grid,1936,3.424000
Gossip,Imperfect_3D_Grid,1728,0.744000
Gossip,Full_Network,1910,0.624000
Gossip,2D_Grid,2025,3.714000
Gossip,Imperfect_3D_Grid,2197,0.854000
Gossip,Full_Network,2010,0.676000
Gossip,2D_Grid,2116,3.243000
Gossip,Imperfect_3D_Grid,2197,0.854000
Gossip,Full_Network,2110,0.576000
Gossip,2D_Grid,2209,4.464000
Gossip,Imperfect_3D_Grid,2197,0.763000
Gossip,Full_Network,2210,0.607000
Gossip,2D_Grid,2304,3.604000
Gossip,Imperfect_3D_Grid,2197,0.794000
Gossip,Full_Network,2310,0.649000
Gossip,2D_Grid,2401,3.533000
Gossip,Imperfect_3D_Grid,2197,0.893000
Gossip,Full_Network,2410,0.607000
Gossip,2D_Grid,2500,4.544000
Gossip,Imperfect_3D_Grid,2744,0.825000
Gossip,Full_Network,2510,0.824000
Gossip,2D_Grid,2601,3.353000
Gossip,Imperfect_3D_Grid,2744,0.804000
Gossip,Full_Network,2610,0.658000
Gossip,2D_Grid,2704,4.765000
Gossip,Imperfect_3D_Grid,2744,0.797000
Gossip,Full_Network,2710,0.654000
Gossip,2D_Grid,2809,4.594000
Gossip,Imperfect_3D_Grid,2744,0.849000
Gossip,Full_Network,2810,0.661000
Gossip,2D_Grid,2916,3.414000
Gossip,Imperfect_3D_Grid,2744,0.814000
Gossip,Full_Network,2910,0.874000
Gossip,2D_Grid,3025,4.493000
Gossip,Imperfect_3D_Grid,2744,0.765000
Gossip,Full_Network,3010,0.677000
Gossip,2D_Grid,3136,3.633000
Gossip,Imperfect_3D_Grid,3375,0.744000
Gossip,Full_Network,3110,0.637000
Gossip,2D_Grid,3249,4.053000
Gossip,Imperfect_3D_Grid,3375,0.838000
Gossip,Full_Network,3210,0.685000
Gossip,2D_Grid,3364,4.874000
