Algorithm,Topology,Nodes,ConvergenceTime
Gossip,Imperfect_3D_Grid,3375,0.819000
Gossip,Full_Network,3310,0.947000
Gossip,2D_Grid,3364,4.354000
Gossip,Imperfect_3D_Grid,3375,0.924000
Gossip,Full_Network,3410,0.709000
Gossip,2D_Grid,3481,4.180000
Gossip,Imperfect_3D_Grid,3375,0.814000
Gossip,Full_Network,3510,0.742000
Gossip,2D_Grid,3600,3.994000
Gossip,Imperfect_3D_Grid,3375,0.976000
Gossip,Full_Network,3610,0.757000
Gossip,2D_Grid,3721,5.555000
Gossip,Imperfect_3D_Grid,3375,0.834000
Gossip,Full_Network,3710,0.727000
Gossip,2D_Grid,3844,5.893000
Gossip,Imperfect_3D_Grid,4096,0.963000
Gossip,Full_Network,3810,0.738000
Gossip,2D_Grid,3969,5.635000
Gossip,Imperfect_3D_Grid,4096,0.797000
Gossip,Full_Network,3910,0.770000
Gossip,2D_Grid,3969,3.423000
Gossip,Imperfect_3D_Grid,4096,0.814000
Gossip,Full_Network,4010,0.760000
Gossip,2D_Grid,4096,4.964000
Gossip,Imperfect_3D_Grid,4096,0.894000
Gossip,Full_Network,4110,0.797000
Gossip,2D_Grid,4225,3.464000
Gossip,Imperfect_3D_Grid,4096,0.884000
Gossip,Full_Network,4210,0.836000
Gossip,2D_Grid,4356,4.935000
Gossip,Imperfect_3D_Grid,4096,0.819000
Gossip,Full_Network,4310,0.872000
Gossip,2D_Grid,4356,4.428000
Gossip,Imperfect_3D_Grid,4096,0.934000
Gossip,Full_Network,4410,0.869000
Gossip,2D_Grid,4489,4.614000
Gossip,Imperfect_3D_Grid,4913,0.839000
Gossip,Full_Network,4510,0.905000
Gossip,2D_Grid,4624,6.536000
Gossip,Imperfect_3D_Grid,4913,0.855000
Gossip,Full_Network,4610,0.934000
Gossip,2D_Grid,4761,5.544000
Gossip,Imperfect_3D_Grid,4913,0.930000
Gossip,Full_Network,4710,0.937000
Gossip,2D_Grid,4761,3.764000
Gossip,Imperfect_3D_Grid,4913,0.964000
Gossip,Full_Network,4810,0.955000
Gossip,2D_Grid,4900,5.554000
Gossip,Imperfect_3D_Grid,4913,1.094000
Gossip,Full_Network,4910,1.096000
Gossip,2D_Grid,5041,5.793000
Gossip,Imperfect_3D_Grid,4913,1.004000
Gossip,Full_Network,5010,1.029000
Gossip,2D_Grid,5041,5.233000
Gossip,Imperfect_3D_Grid,4913,0.954000
Gossip,Full_Network,5110,0.976000
Gossip,2D_Grid,5184,5.713000
Gossip,Imperfect_3D_Grid,4913,0.864000
Gossip,Full_Network,5210,1.110000
Gossip,2D_Grid,5329,5.403000
Gossip,Imperfect_3D_Grid,4913,0.873000
Gossip,Full_Network,5310,1.141000
Gossip,2D_Grid,5476,5.554000
Gossip,Imperfect_3D_Grid,5832,0.983000
Gossip,Full_Network,5410,1.174000
Gossip,2D_Grid,5476,5.834000
Gossip,Imperfect_3D_Grid,5832,1.045000
Gossip,Full_Network,5510,1.199000
Gossip,2D_Grid,5625,6.354000
Gossip,Imperfect_3D_Grid,5832,0.985000
Gossip,Full_Network,5610,1.220000
Gossip,2D_Grid,5776,7.293000
Gossip,Imperfect_3D_Grid,5832,0.989000
Gossip,Full_Network,5710,1.259000
Gossip,2D_Grid,5776,6.079000
Gossip,Imperfect_3D_Grid,5832,0.995000
Gossip,Full_Network,5810,1.281000
Gossip,2D_Grid,5929,6.003000
Gossip,Imperfect_3D_Grid,5832,1.001000
Gossip,Full_Network,5910,1.322000
Gossip,2D_Grid,6084,5.993000
Gossip,Imperfect_3D_Grid,5832,0.994000
Gossip,Full_Network,6010,1.349000
Gossip,2D_Grid,6084,5.006000
Gossip,Imperfect_3D_Grid,5832,1.015000
Gossip,Full_Network,6110,1.373000
Gossip,2D_Grid,6241,7.685000
Gossip,Imperfect_3D_Grid,5832,0.986000
Gossip,Full_Network,6210,1.369000
Gossip,2D_Grid,6241,6.194000
