Algorithm,Topology,Nodes,ConvergenceTime
Gossip,Full_Network,440,0.515000
Gossip,Line,450,17.945000
Gossip,2D_Grid,441,1.433000
Gossip,Imperfect_3D_Grid,512,0.704000
Gossip,Full_Network,450,0.557000
Gossip,Line,460,26.423000
Gossip,2D_Grid,441,1.544000
Gossip,Imperfect_3D_Grid,512,0.614000
Gossip,Full_Network,460,0.584000
Gossip,Line,470,24.073000
Gossip,2D_Grid,484,1.843000
Gossip,Imperfect_3D_Grid,512,0.613000
Gossip,Full_Network,470,0.454000
Gossip,Line,480,23.924000
Gossip,2D_Grid,484,1.623000
Gossip,Imperfect_3D_Grid,512,0.633000
Gossip,Full_Network,480,0.486000
Gossip,Line,490,16.253000
Gossip,2D_Grid,484,1.883000
Gossip,Imperfect_3D_Grid,512,0.764000
Gossip,Full_Network,490,0.525000
Gossip,Line,500,25.594000
Gossip,2D_Grid,484,1.643000
Gossip,Imperfect_3D_Grid,512,0.604000
Gossip,Full_Network,500,0.507000
Gossip,Line,510,15.173000
Gossip,2D_Grid,529,1.594000
Gossip,Imperfect_3D_Grid,512,0.694000
Gossip,Full_Network,510,0.524000
Gossip,Line,520,28.163000
Gossip,2D_Grid,529,2.293000
Gossip,Imperfect_3D_Grid,512,0.843000
Gossip,Full_Network,520,0.545000
Gossip,Line,530,20.854000
Gossip,2D_Grid,529,1.613000
Gossip,Imperfect_3D_Grid,512,0.578000
Gossip,Full_Network,530,0.498000
Gossip,Line,540,24.084000
Gossip,2D_Grid,529,2.003000
Gossip,Imperfect_3D_Grid,512,0.603000
Gossip,Full_Network,540,0.515000
Gossip,Line,550,18.753000
Gossip,2D_Grid,529,1.854000
Gossip,Imperfect_3D_Grid,512,0.673000
Gossip,Full_Network,550,1.012000
Gossip,Line,560,21.002000
Gossip,2D_Grid,576,2.123000
Gossip,Imperfect_3D_Grid,512,0.575000
Gossip,Full_Network,560,0.515000
Gossip,Line,570,31.283000
Gossip,2D_Grid,576,1.842000
Gossip,Imperfect_3D_Grid,512,0.673000
Gossip,Full_Network,570,0.525000
Gossip,Line,580,28.253000
Gossip,2D_Grid,576,2.033000
Gossip,Imperfect_3D_Grid,512,0.704000
Gossip,Full_Network,580,0.613000
Gossip,Line,590,18.873000
Gossip,2D_Grid,576,1.714000
Gossip,Imperfect_3D_Grid,512,0.714000
Gossip,Full_Network,590,0.538000
Gossip,Line,600,33.304000
Gossip,2D_Grid,576,1.744000
Gossip,Imperfect_3D_Grid,512,0.563000
Gossip,Full_Network,600,0.599000
Gossip,Line,610,23.125000
Gossip,2D_Grid,625,2.404000
Gossip,Imperfect_3D_Grid,512,0.674000
Gossip,Full_Network,610,0.514000
Gossip,Line,620,32.923000
Gossip,2D_Grid,625,2.105000
Gossip,Imperfect_3D_Grid,729,0.664000
Gossip,Full_Network,620,0.485000
Gossip,Line,630,37.314000
Gossip,2D_Grid,625,2.365000
Gossip,Imperfect_3D_Grid,729,0.653000
Gossip,Full_Network,630,0.526000
Gossip,Line,640,29.784000
Gossip,2D_Grid,625,2.065000
Gossip,Imperfect_3D_Grid,729,0.685000
Gossip,Full_Network,640,0.544000
Gossip,Line,650,23.413000
Gossip,2D_Grid,625,1.943000
Gossip,Imperfect_3D_Grid,729,0.713000
Gossip,Full_Network,650,0.514000
Gossip,Line,660,29.222000
Gossip,2D_Grid,676,1.844000
Gossip,Imperfect_3D_Grid,729,0.636000
Gossip,Full_Network,660,0.515000
Gossip,Line,670,24.993000
Gossip,2D_Grid,676,2.008000
Gossip,Imperfect_3D_Grid,729,0.643000
Gossip,Full_Network,670,0.816000
Gossip,Line,680,41.633000
Gossip,2D_Grid,676,1.733000
Gossip,Imperfect_3D_Grid,729,0.668000
Gossip,Full_Network,680,0.524000
Gossip,Line,690,30.333000
Gossip,2D_Grid,676,2.413000
Gossip,Imperfect_3D_Grid,729,0.694000
Gossip,Full_Network,690,0.614000
Gossip,Line,700,32.376000
Gossip,2D_Grid,676,2.434000
Gossip,Imperfect_3D_Grid,729,0.734000
Gossip,Full_Network,700,0.557000
Gossip,Line,710,39.493000
Gossip,2D_Grid,729,1.973000
Gossip,Imperfect_3D_Grid,729,0.637000
Gossip,Full_Network,710,0.581000
Gossip,Line,720,27.633000
Gossip,2D_Grid,729,1.824000
Gossip,Imperfect_3D_Grid,729,0.713000
Gossip,Full_Network,720,0.514000
Gossip,Line,730,27.283000
Gossip,2D_Grid,729,1.843000
Gossip,Imperfect_3D_Grid,729,0.644000
Gossip,Full_Network,730,0.528000
Gossip,Line,740,38.914000
Gossip,2D_Grid,729,2.213000
Gossip,Imperfect_3D_Grid,729,0.754000
Gossip,Full_Network,740,0.574000
Gossip,Line,750,26.743000
Gossip,2D_Grid,729,1.634000
Gossip,Imperfect_3D_Grid,729,0.683000
Gossip,Full_Network,750,0.602000
Gossip,Line,760,41.466000
Gossip,2D_Grid,784,2.433000
Gossip,Imperfect_3D_Grid,729,0.784000
Gossip,Full_Network,760,0.504000
Gossip,Line,770,41.704000
Gossip,2D_Grid,784,1.923000
Gossip,Imperfect_3D_Grid,729,0.814000
Gossip,Full_Network,770,0.505000
Gossip,Line,780,28.294000
Gossip,2D_Grid,784,1.503000
Gossip,Imperfect_3D_Grid,729,0.673000
Gossip,Full_Network,780,0.485000
Gossip,Line,790,35.314000
Gossip,2D_Grid,784,2.463000
Gossip,Imperfect_3D_Grid,729,0.664000
Gossip,Full_Network,790,0.556000
Gossip,Line,800,27.743000
Gossip,2D_Grid,784,2.653000
Gossip,Imperfect_3D_Grid,729,0.637000
Gossip,Full_Network,800,0.504000
Gossip,Line,810,28.933000
Gossip,2D_Grid,784,2.493000
Gossip,Imperfect_3D_Grid,729,0.693000
Gossip,Full_Network,810,0.514000
Gossip,Line,820,29.433000
Gossip,2D_Grid,841,2.813000
Gossip,Imperfect_3D_Grid,729,0.733000
Gossip,Full_Network,820,0.595000
Gossip,Line,830,36.772000
Gossip,2D_Grid,841,2.024000
Gossip,Imperfect_3D_Grid,729,0.674000
Gossip,Full_Network,830,0.521000
Gossip,Line,840,26.453000
Gossip,2D_Grid,841,2.223000
Gossip,Imperfect_3D_Grid,729,0.862000
Gossip,Full_Network,840,0.487000
Gossip,Line,850,34.893000
Gossip,2D_Grid,841,2.339000
Gossip,Imperfect_3D_Grid,729,0.693000
Gossip,Full_Network,850,0.484000
Gossip,Line,860,28.593000
Gossip,2D_Grid,841,2.313000
Gossip,Imperfect_3D_Grid,1000,0.673000
Gossip,Full_Network,860,0.515000
Gossip,Line,870,33.884000
Gossip,2D_Grid,841,2.575000
Gossip,Imperfect_3D_Grid,1000,0.784000
Gossip,Full_Network,870,0.557000
Gossip,Line,880,44.174000
Gossip,2D_Grid,900,2.463000
Gossip,Imperfect_3D_Grid,1000,0.804000
Gossip,Full_Network,880,0.528000
Gossip,Line,890,30.425000
Gossip,2D_Grid,900,2.714000
Gossip,Imperfect_3D_Grid,1000,0.694000
Gossip,Full_Network,890,0.543000
Gossip,Line,900,35.094000
Gossip,2D_Grid,900,2.662000
Gossip,Imperfect_3D_Grid,1000,0.745000
Gossip,Full_Network,900,0.526000
Gossip,Line,910,43.664000
Gossip,2D_Grid,900,2.284000
Gossip,Imperfect_3D_Grid,1000,0.715000
Gossip,Full_Network,910,0.537000
Gossip,Line,920,29.719000
Gossip,2D_Grid,900,2.374000
Gossip,Imperfect_3D_Grid,1000,0.815000
Gossip,Full_Network,920,0.644000
Gossip,Line,930,36.923000
Gossip,2D_Grid,900,2.194000
Gossip,Imperfect_3D_Grid,1000,0.664000
Gossip,Full_Network,930,0.537000
Gossip,Line,940,48.933000
Gossip,2D_Grid,961,2.483000
