Algorithm,Topology,Nodes,ConvergenceTime
Gossip,Line,10,0.814000
Gossip,2D_Grid,9,0.184000
Gossip,Imperfect_3D_Grid,8,0.184000
Gossip,Full_Network,10,0.224000
Gossip,Line,20,0.784000
Gossip,2D_Grid,16,0.304000
Gossip,Imperfect_3D_Grid,27,0.424000
Gossip,Full_Network,20,0.214000
Gossip,Line,30,1.774000
Gossip,2D_Grid,25,0.374000
Gossip,Imperfect_3D_Grid,27,0.275000
Gossip,Full_Network,30,0.214000
Gossip,Line,40,2.043000
Gossip,2D_Grid,36,0.463000
Gossip,Imperfect_3D_Grid,27,0.244000
Gossip,Full_Network,40,0.244000
Gossip,Line,50,2.283000
Gossip,2D_Grid,49,0.633000
Gossip,Imperfect_3D_Grid,64,0.423000
Gossip,Full_Network,50,0.303000
Gossip,Line,60,3.190000
Gossip,2D_Grid,64,0.694000
Gossip,Imperfect_3D_Grid,64,0.394000
Gossip,Full_Network,60,0.304000
Gossip,Line,70,2.193000
Gossip,2D_Grid,64,0.783000
Gossip,Imperfect_3D_Grid,64,0.423000
Gossip,Full_Network,70,0.333000
Gossip,Line,80,3.243000
Gossip,2D_Grid,81,0.723000
Gossip,Imperfect_3D_Grid,64,0.573000
Gossip,Full_Network,80,0.393000
Gossip,Line,90,4.873000
Gossip,2D_Grid,81,0.843000
Gossip,Imperfect_3D_Grid,64,0.333000
Gossip,Full_Network,90,0.393000
Gossip,Line,100,5.313000
Gossip,2D_Grid,100,0.842000
Gossip,Imperfect_3D_Grid,125,0.454000
Gossip,Full_Network,100,0.452000
Gossip,Line,110,4.003000
Gossip,2D_Grid,100,0.873000
Gossip,Imperfect_3D_Grid,125,0.484000
Gossip,Full_Network,110,0.452000
Gossip,Line,120,5.373000
Gossip,2D_Grid,121,0.963000
Gossip,Imperfect_3D_Grid,125,0.423000
Gossip,Full_Network,120,0.393000
Gossip,Line,130,5.663000
Gossip,2D_Grid,121,0.853000
Gossip,Imperfect_3D_Grid,125,0.453000
Gossip,Full_Network,130,0.343000
Gossip,Line,140,4.463000
Gossip,2D_Grid,144,1.263000
Gossip,Imperfect_3D_Grid,125,0.453000
Gossip,Full_Network,140,0.423000
Gossip,Line,150,5.393000
Gossip,2D_Grid,144,0.823000
Gossip,Imperfect_3D_Grid,125,0.393000
Gossip,Full_Network,150,0.484000
Gossip,Line,160,8.833000
Gossip,2D_Grid,169,1.122000
Gossip,Imperfect_3D_Grid,125,0.583000
Gossip,Full_Network,160,0.443000
Gossip,Line,170,10.153000
Gossip,2D_Grid,169,1.273000
Gossip,Imperfect_3D_Grid,216,0.513000
Gossip,Full_Network,170,0.394000
Gossip,Line,180,10.483000
Gossip,2D_Grid,169,1.142000
Gossip,Imperfect_3D_Grid,216,0.574000
Gossip,Full_Network,180,0.365000
Gossip,Line,190,6.883000
Gossip,2D_Grid,196,0.873000
Gossip,Imperfect_3D_Grid,216,0.574000
Gossip,Full_Network,190,0.393000
Gossip,Line,200,6.613000
Gossip,2D_Grid,196,1.003000
Gossip,Imperfect_3D_Grid,216,0.515000
Gossip,Full_Network,200,0.424000
Gossip,Line,210,10.932000
Gossip,2D_Grid,196,1.234000
Gossip,Imperfect_3D_Grid,216,0.582000
Gossip,Full_Network,210,0.394000
Gossip,Line,220,11.833000
Gossip,2D_Grid,225,1.483000
Gossip,Imperfect_3D_Grid,216,0.494000
Gossip,Full_Network,220,0.543000
Gossip,Line,230,12.053000
Gossip,2D_Grid,225,1.243000
Gossip,Imperfect_3D_Grid,216,0.553000
Gossip,Full_Network,230,0.403000
Gossip,Line,240,9.374000
Gossip,2D_Grid,225,1.423000
Gossip,Imperfect_3D_Grid,216,0.553000
Gossip,Full_Network,240,0.439000
Gossip,Line,250,15.203000
Gossip,2D_Grid,256,1.062000
Gossip,Imperfect_3D_Grid,216,0.642000
Gossip,Full_Network,250,0.411000
Gossip,Line,260,13.003000
Gossip,2D_Grid,256,1.453000
Gossip,Imperfect_3D_Grid,216,0.483000
Gossip,Full_Network,260,0.485000
Gossip,Line,270,16.473000
Gossip,2D_Grid,256,1.263000
Gossip,Imperfect_3D_Grid,216,0.584000
Gossip,Full_Network,270,0.473000
Gossip,Line,280,8.793000
Gossip,2D_Grid,289,1.513000
Gossip,Imperfect_3D_Grid,343,0.574000
Gossip,Full_Network,280,0.455000
Gossip,Line,290,12.973000
Gossip,2D_Grid,289,1.364000
Gossip,Imperfect_3D_Grid,343,0.634000
Gossip,Full_Network,290,0.454000
Gossip,Line,300,10.463000
Gossip,2D_Grid,289,1.243000
Gossip,Imperfect_3D_Grid,343,0.613000
Gossip,Full_Network,300,0.455000
Gossip,Line,310,16.853000
Gossip,2D_Grid,324,1.423000
Gossip,Imperfect_3D_Grid,343,0.543000
Gossip,Full_Network,310,0.454000
Gossip,Line,320,9.583000
Gossip,2D_Grid,324,1.323000
Gossip,Imperfect_3D_Grid,343,0.525000
Gossip,Full_Network,320,0.520000
Gossip,Line,330,17.683000
Gossip,2D_Grid,324,1.354000
Gossip,Imperfect_3D_Grid,343,0.613000
Gossip,Full_Network,330,0.487000
Gossip,Line,340,17.553000
Gossip,2D_Grid,324,1.493000
Gossip,Imperfect_3D_Grid,343,0.545000
Gossip,Full_Network,340,0.454000
Gossip,Line,350,11.223000
Gossip,2D_Grid,361,1.763000
Gossip,Imperfect_3D_Grid,343,0.674000
Gossip,Full_Network,350,0.429000
Gossip,Line,360,19.792000
Gossip,2D_Grid,361,1.783000
Gossip,Imperfect_3D_Grid,343,0.585000
Gossip,Full_Network,360,0.455000
Gossip,Line,370,21.332000
Gossip,2D_Grid,361,1.774000
Gossip,Imperfect_3D_Grid,343,0.644000
Gossip,Full_Network,370,0.455000
Gossip,Line,380,16.443000
Gossip,2D_Grid,361,1.393000
Gossip,Imperfect_3D_Grid,343,0.563000
Gossip,Full_Network,380,0.424000
Gossip,Line,390,11.153000
Gossip,2D_Grid,400,1.583000
Gossip,Imperfect_3D_Grid,343,0.584000
Gossip,Full_Network,390,0.435000
Gossip,Line,400,22.913000
Gossip,2D_Grid,400,1.293000
Gossip,Imperfect_3D_Grid,343,0.603000
Gossip,Full_Network,400,0.549000
Gossip,Line,410,20.533000
Gossip,2D_Grid,400,1.693000
Gossip,Imperfect_3D_Grid,343,0.575000
Gossip,Full_Network,410,0.513000
Gossip,Line,420,13.943000
Gossip,2D_Grid,400,1.544000
Gossip,Imperfect_3D_Grid,343,0.652000
Gossip,Full_Network,420,0.435000
Gossip,Line,430,19.494000
Gossip,2D_Grid,441,1.343000
Gossip,Imperfect_3D_Grid,512,0.643000
Gossip,Full_Network,430,0.633000
Gossip,Line,440,24.873000
Gossip,2D_Grid,441,1.433000
Gossip,Imperfect_3D_Grid,512,0.803000
