NumNodes,NumRequests,AverageHops
1,20,1.000000
11,20,2.181818
21,20,2.957143
31,20,3.466129
41,20,3.280488
51,20,2.942157
61,20,3.885246
71,20,3.978169
81,20,3.893210
91,20,4.272527
1700,10,6.070529
1700,10,5.614235
